Даты;OBSHEE;PRITOK;OTTOK;Доля оттока не норм;Доля оттока
31.10.2021;186;186;0;0;0
30.11.2021;181;1;6;0,033149171;3.31
31.12.2021;181;2;2;0,011049724;1.1
31.01.2022;182;3;2;0,010989011;1.1
28.02.2022;180;1;3;0,016666667;1.67
31.03.2022;179;1;2;0,011173184;1.12
30.04.2022;184;9;4;0,02173913;2.17
31.05.2022;184;3;3;0,016304348;1.63
30.06.2022;188;7;3;0,015957447;1.6
31.07.2022;179;1;10;0,055865922;5.59
31.08.2022;159;2;22;0,13836478;13.84
30.09.2022;659;512;12;0,018209408;1.82
31.10.2022;1341;694;12;0,008948546;0.89
30.11.2022;2061;736;16;0,007763222;0.78
31.12.2022;2910;865;16;0,005498282;0.55
31.01.2023;3562;678;27;0,007580011;0.76
28.02.2023;4295;773;40;0,009313155;0.93
31.03.2023;5276;1014;33;0,006254738;0.63
30.04.2023;6161;932;48;0,007790943;0.78
31.05.2023;7017;326;70;0,009975773;1
30.06.2023;7852;883;48;0,006113092;0.61
31.07.2023;8396;568;42;0,005002382;0.5
31.08.2023;8511;208;93;0,010927036;1.09
30.09.2023;8546;143;108;0,012637491;1.26
