ОКВЭД; All;Активные бизнесы;Прогоревшие бизнесы;Percent_from_Active;Percent_from_All
60.23;3135;2824;311;11,0127;9,92026
47.91;3175;2804;371;13,2311;11,68504
41.2;2578;2322;256;11,025;9,93018
46.39;1893;1661;232;13,9675;12,25568
47.11;1462;1289;173;13,4213;11,83311
56.1;1052;927;125;13,4844;11,88213
46.73;963;828;135;16,3043;14,01869
43.21;1028;816;212;25,9804;20,62257
43.29;918;717;201;28,0335;21,89542
47.91.2;744;664;80;12,0482;10,75269
47.19;708;617;91;14,7488;12,85311
49.42;675;574;101;17,5958;14,96296
62;630;558;72;12,9032;11,42857
45.2;625;545;80;14,6789;12,8
47.71;533;462;71;15,368;13,32083
96.02;530;425;105;24,7059;19,81132
43.39;523;414;109;26,3285;20,8413
